Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,30,18,11,1,46:21,25,47:13
2,UD Las Palmas,30,15,8,7,45:34,11,38:22
3,FC Barcelona,30,13,10,7,40:18,22,36:24
4,CE Sabadell ,30,10,12,8,33:34,-1,32:28
5,Valencia,30,10,11,9,36:39,-3,31:29
6,Atlético Madrid,30,10,10,10,40:37,3,30:30
7,Real Sociedad,30,10,9,11,36:33,3,29:31
8,Granada CF,30,11,7,12,26:38,-12,29:31
9,Elche CF,30,7,15,8,25:23,2,29:31
10,Dep. La Coruña,30,11,6,13,39:44,-5,28:32
11,Athletic,30,10,8,12,42:46,-4,28:32
12,Pontevedra,30,7,13,10,20:23,-3,27:33
13,Real Zaragoza,30,8,10,12,36:36,0,26:34
14,CD Málaga,30,9,7,14,37:42,-5,25:35
15,Espanyol,30,8,8,14,29:36,-7,24:36
16,Córdoba CF,30,5,11,14,31:57,-26,21:39
