Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,38,32,4,2,121:32,89,100
2,FC Barcelona,38,28,7,3,114:29,85,91
3,Valencia,38,17,10,11,59:44,15,61
4,Málaga CF,38,17,7,14,54:53,1,58
5,Atlético Madrid,38,15,11,12,53:46,7,56
6,Levante,38,16,7,15,54:50,4,55
7,CA Osasuna,38,13,15,10,44:61,-17,54
8,RCD Mallorca,38,14,10,14,42:46,-4,52
9,Sevilla FC,38,13,11,14,48:47,1,50
10,Athletic,38,12,13,13,49:52,-3,49
11,Getafe,38,12,11,15,40:51,-11,47
12,Real Sociedad,38,12,11,15,46:52,-6,47
13,Real Betis,38,13,8,17,47:56,-9,47
14,Espanyol,38,12,10,16,46:56,-10,46
15,Rayo Vallecano,38,13,4,21,53:73,-20,43
16,Real Zaragoza,38,12,7,19,36:61,-25,43
17,Granada CF,38,12,6,20,35:56,-21,42
18,Villarreal,38,9,14,15,39:53,-14,41
19,Sporting Gijón,38,10,7,21,42:69,-27,37
20,Racing,38,4,15,19,28:63,-35,27
