Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Real Madrid,34,20,10,4,66:34,32,50:18
2,Real Zaragoza,34,15,8,11,58:47,11,38:30
3,FC Barcelona,34,15,7,12,57:36,21,37:31
4,Hércules CF,34,11,14,9,37:36,1,36:32
5,Real Sociedad,34,12,12,10,37:32,5,36:32
6,Atlético Madrid,34,11,13,10,46:34,12,35:33
7,UD Salamanca,34,10,15,9,33:29,4,35:33
8,Elche CF,34,13,8,13,35:44,-9,34:34
9,Real Betis,34,14,6,14,35:41,-6,34:34
10,Athletic,34,13,7,14,40:42,-2,33:35
11,Espanyol,34,14,5,15,38:47,-9,33:35
12,Valencia,34,12,8,14,53:48,5,32:36
13,UD Las Palmas,34,12,8,14,41:39,2,32:36
14,Sporting Gijón,34,11,10,13,40:40,0,32:36
15,Granada CF,34,10,11,13,35:47,-12,31:37
16,CD Málaga,34,13,5,16,33:42,-9,31:37
17,Celta de Vigo,34,10,10,14,30:41,-11,30:38
18,Real Murcia,34,7,9,18,31:66,-35,23:45
