Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Monaco,34,20,5,9,69:38,31,65
2,Paris SG,34,16,10,8,54:40,14,58
3,Olympique Lyon,34,16,8,10,45:42,3,56
4,G. Bordeaux,34,15,9,10,52:40,12,54
5,Lens,34,14,7,13,42:41,1,49
6,Saint-Étienne,34,13,9,12,46:47,-1,48
7,CS Sedan,34,13,9,12,43:44,-1,48
8,AJ Auxerre,34,13,8,13,37:39,-2,47
9,R. Strasbourg,34,13,7,14,42:52,-10,46
10,SC Bastia,34,11,12,11,43:39,4,45
11,FC Metz,34,9,17,8,38:33,5,44
12,FC Nantes,34,12,7,15,39:40,-1,43
13,Stade Rennais,34,12,7,15,44:48,-4,43
14,Troyes,34,13,4,17,36:52,-16,43
15,Marseille,34,9,15,10,45:45,0,42
16,AS Nancy,34,11,9,14,43:45,-2,42
17,AC Le Havre,34,9,7,18,30:52,-22,34
18,Montpellier,34,7,10,17,39:50,-11,31
