Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,LOSC Lille,38,21,13,4,68:36,32,76
2,Marseille,38,18,14,6,62:39,23,68
3,Olympique Lyon,38,17,13,8,61:40,21,64
4,Paris SG,38,15,15,8,56:41,15,60
5,FC Sochaux,38,17,7,14,60:43,17,58
6,Stade Rennais,38,15,11,12,38:35,3,56
7,G. Bordeaux,38,12,15,11,43:42,1,51
8,Toulouse,38,14,8,16,38:36,2,50
9,AJ Auxerre,38,10,19,9,45:41,4,49
10,Saint-Étienne,38,12,13,13,46:47,-1,49
11,FC Lorient,38,12,13,13,46:48,-2,49
12,Valenciennes FC,38,10,18,10,45:41,4,48
13,AS Nancy,38,13,9,16,43:48,-5,48
14,Montpellier,38,12,11,15,32:43,-11,47
15,SM Caen,38,11,13,14,46:51,-5,46
16,Stade Brest 29,38,11,13,14,36:43,-7,46
17,OGC Nice,38,11,13,14,33:48,-15,46
18,Monaco,38,9,17,12,36:40,-4,44
19,Lens,38,7,14,17,35:58,-23,35
20,AC Arles,38,3,11,24,21:70,-49,20
