Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Paris SG,38,30,6,2,102:19,83,96
2,Olympique Lyon,38,19,8,11,67:43,24,65
3,Monaco,38,17,14,7,57:50,7,65
4,OGC Nice,38,18,9,11,58:41,17,63
5,LOSC Lille,38,15,15,8,39:27,12,60
6,Saint-Étienne,38,17,7,14,42:37,5,58
7,SM Caen,38,16,6,16,39:52,-13,54
8,Stade Rennais,38,13,13,12,52:54,-2,52
9,SCO Angers,38,13,11,14,40:38,2,50
10,SC Bastia,38,14,8,16,36:42,-6,50
11,G. Bordeaux,38,12,14,12,50:57,-7,50
12,Montpellier,38,14,7,17,49:47,2,49
13,Marseille,38,10,18,10,48:42,6,48
14,FC Nantes,38,12,12,14,33:44,-11,48
15,FC Lorient,38,11,13,14,47:58,-11,46
16,Guingamp,38,11,11,16,47:56,-9,44
17,Toulouse,38,9,13,16,45:55,-10,40
18,Reims,38,10,9,19,44:57,-13,39
19,G. Ajaccio,38,8,13,17,37:58,-21,37
20,Troyes,38,3,9,26,28:83,-55,18
