Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,34,19,11,4,56:20,36,49:19
2 ,Juventus,34,18,9,7,50:25,25,45:23
3 ,Milan,34,15,13,6,53:27,26,43:25
4 ,Bologna,34,17,8,9,58:39,19,42:26
5 ,AS Roma,34,13,14,7,57:32,25,40:28
6 ,Fiorentina,34,15,8,11,52:32,20,38:30
7 ,Vicenza,34,13,10,11,35:35,0,36:32
8 ,Atalanta,34,12,10,12,43:44,-1,34:34
9 ,AC Torino,34,12,10,12,34:38,-4,34:34
10 ,SPAL,34,12,10,12,36:38,-2,34:34
11 ,Mantova,34,8,14,12,34:46,-12,30:38
12 ,Sampdoria,34,11,8,15,41:50,-9,30:38
13 ,Modena,34,10,10,14,36:47,-11,30:38
14 ,Catania,34,10,10,14,35:56,-21,30:38
15 ,Genoa,34,9,10,15,32:48,-16,28:40
16 ,Napoli,34,9,9,16,35:59,-24,27:41
17 ,AC Venezia,34,6,10,18,36:51,-15,22:46
18 ,Palermo,34,5,10,19,18:54,-36,20:48
