Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Milan,34,19,10,5,81:35,46,48:20
2 ,Udinese,34,16,12,6,58:42,16,44:24
3 ,AS Roma,34,13,15,6,53:39,14,41:27
4 ,Bologna,34,15,10,9,56:47,9,40:28
5 ,Fiorentina,34,14,11,9,49:48,1,39:29
6 ,Napoli,34,13,12,9,50:40,10,38:30
7 ,Juventus,34,12,13,9,60:53,7,37:31
8 ,Inter,34,13,10,11,55:49,6,36:32
9 ,AC Torino,34,12,10,12,42:45,-3,34:34
10 ,Sampdoria,34,11,12,11,54:44,10,34:34
11 ,Genoa,34,9,13,12,34:44,-10,31:37
12 ,Lazio,34,11,8,15,41:52,-11,30:38
13 ,Catania,34,10,10,14,38:47,-9,30:38
14 ,Triestina,34,9,12,13,34:52,-18,30:38
15 ,Atalanta,34,8,12,14,35:38,-3,28:40
16 ,Novara,34,10,8,16,39:53,-14,28:40
17 ,SPAL,34,5,13,16,24:49,-25,23:45
18 ,Pro Patria,34,6,9,19,29:55,-26,21:47
