Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,25,4,5,83:23,60,54:14
2 ,Ambrosiana-Inter,34,19,8,7,80:53,27,46:22
3 ,Bologna,34,15,12,7,69:33,36,42:26
4 ,Napoli,34,18,6,10,64:38,26,42:26
5 ,AS Roma,34,14,11,9,58:35,23,39:29
6 ,Fiorentina,34,16,7,11,48:38,10,39:29
7 ,Torino,34,14,8,12,65:54,11,36:32
8 ,Genova,34,13,8,13,58:60,-2,34:34
9 ,Triestina,34,14,6,14,41:56,-15,34:34
10 ,Lazio,34,12,9,13,42:44,-2,33:35
11 ,Milan,34,11,10,13,57:62,-5,32:36
12 ,Pro Vercelli,34,13,3,18,42:58,-16,29:39
13 ,Palermo,34,11,7,16,28:58,-30,29:39
14 ,Alessandria,34,10,8,16,42:60,-18,28:40
15 ,Padova,34,8,12,14,43:55,-12,28:40
16 ,Casale,34,9,6,19,35:75,-40,24:44
17 ,Bari,34,8,6,20,40:68,-28,22:46
18 ,Pro Patria,34,8,5,21,46:71,-25,21:47
