Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,38,28,6,4,70:30,40,90
2 ,SSC Napoli,38,24,7,7,74:36,38,79
3 ,Atalanta,38,20,9,9,77:46,31,69
4 ,Inter,38,20,9,9,57:33,24,69
5 ,AC Milan,38,19,11,8,55:36,19,68
6 ,AS Roma,38,18,12,8,66:48,18,66
7 ,Torino,38,16,15,7,52:37,15,63
8 ,Lazio,38,17,8,13,56:46,10,59
9 ,Sampdoria,38,15,8,15,60:51,9,53
10 ,Bologna,38,11,11,16,48:56,-8,44
11 ,Sassuolo,38,9,16,13,53:60,-7,43
12 ,Udinese Calcio,38,11,10,17,39:53,-14,43
13 ,SPAL,38,11,9,18,44:56,-12,42
14 ,Parma,38,10,11,17,41:61,-20,41
15 ,Cagliari Calcio,38,10,11,17,36:54,-18,41
16 ,Fiorentina,38,8,17,13,47:45,2,41
17 ,Genoa,38,8,14,16,39:57,-18,38
18 ,FC Empoli,38,10,8,20,51:70,-19,38
19 ,Frosinone,38,5,10,23,29:69,-40,25
20 ,Chievo Verona,38,2,14,22,25:75,-50,17
