Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,24,6,4,89:38,51,54:14
2 ,Bologna,34,21,8,5,85:33,52,50:18
3 ,AS Roma,34,16,8,10,53:42,11,40:28
4 ,Fiorentina,34,16,7,11,54:35,19,39:29
5 ,Milan,34,15,9,10,57:40,17,39:29
6 ,Ambrosiana-Inter,34,15,8,11,67:52,15,38:30
7 ,Alessandria,34,15,8,11,66:53,13,38:30
8 ,Torino,34,14,9,11,64:53,11,37:31
9 ,Napoli,34,13,9,12,48:46,2,35:33
10 ,Pro Patria,34,9,13,12,37:55,-18,31:37
11 ,Genova,34,11,8,15,48:56,-8,30:38
12 ,Casale,34,12,4,18,51:67,-16,28:40
13 ,Lazio,34,10,7,17,45:53,-8,27:41
14 ,Triestina,34,8,11,15,42:61,-19,27:41
15 ,Pro Vercelli,34,10,7,17,35:54,-19,27:41
16 ,Brescia,34,8,9,17,31:60,-29,25:43
17 ,Bari,34,9,7,18,36:64,-28,25:43
18 ,Modena,34,7,8,19,41:87,-46,22:46
