Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,25,5,4,92:33,59,55:13
2 ,Fiorentina,34,20,7,7,68:31,37,47:21
3 ,AC Milan,34,17,10,7,56:37,19,44:24
4 ,Inter,34,14,12,8,55:43,12,40:28
5 ,Padova,34,14,8,12,50:46,4,36:32
6 ,SPAL,34,12,12,10,45:50,-5,36:32
7 ,Bologna,34,14,8,12,50:42,8,36:32
8 ,Sampdoria,34,11,13,10,41:46,-5,35:33
9 ,AS Roma,34,13,8,13,53:53,0,34:34
10 ,Vicenza,34,11,10,13,39:42,-3,32:36
11 ,Atalanta,34,9,13,12,31:39,-8,31:37
12 ,Lazio,34,9,12,13,32:45,-13,30:38
13 ,Bari,34,9,11,14,32:42,-10,29:39
14 ,Napoli,34,8,13,13,33:48,-15,29:39
15 ,Udinese,34,6,16,12,39:54,-15,28:40
16 ,Palermo,34,6,15,13,27:40,-13,27:41
17 ,Alessandria,34,5,15,14,28:51,-23,25:43
18 ,Genoa,34,4,10,20,21:50,-29,18:50
