Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,38,23,7,8,68:30,38,76
2 ,AS Roma,38,19,12,7,70:42,28,69
3 ,AC Milan,38,28,4,6,85:31,54,58
4 ,Chievo Verona,38,13,15,10,54:49,5,54
5 ,US Palermo,38,13,13,12,50:52,-2,52
6 ,AS Livorno,38,12,13,13,37:44,-7,49
7 ,Parma,38,12,9,17,46:60,-14,45
8 ,FC Empoli,38,13,6,19,47:61,-14,45
9 ,Fiorentina,38,22,8,8,66:41,25,44
10 ,Ascoli,38,9,16,13,43:53,-10,43
11 ,Udinese,38,11,10,17,40:54,-14,43
12 ,Reggina,38,11,8,19,39:65,-26,41
13 ,Sampdoria,38,10,11,17,47:51,-4,41
14 ,Cagliari Calcio,38,8,15,15,42:55,-13,39
15 ,Siena,38,9,12,17,42:60,-18,39
16 ,Lazio,38,16,14,8,57:47,10,32
17 ,Messina Peloro,38,6,13,19,33:59,-26,31
18 ,Lecce,38,7,8,23,30:57,-27,29
19 ,Treviso,38,3,12,23,24:56,-32,21
20 ,Juventus,38,27,10,1,71:24,47,0
