Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Torino,30,20,4,6,68:31,37,44:16
2 ,Livorno,30,18,7,5,52:34,18,43:17
3 ,Juventus,30,16,5,9,75:55,20,37:23
4 ,Ambrosiana-Inter,30,15,4,11,53:38,15,34:26
5 ,Genova,30,14,5,11,59:53,6,33:27
6 ,Bologna,30,12,5,13,53:39,14,29:31
7 ,Fiorentina,30,12,5,13,55:61,-6,29:31
8 ,Milano,30,10,9,11,39:44,-5,29:31
9 ,Atalanta,30,11,6,13,34:44,-10,28:32
10 ,Lazio,30,10,8,12,56:59,-3,28:32
11 ,AS Roma,30,12,4,14,36:50,-14,28:32
12 ,AC Vicenza,30,8,9,13,36:44,-8,25:35
13 ,Bari,30,7,10,13,24:38,-14,24:36
14 ,AC Venezia,30,8,8,14,34:46,-12,24:36
15 ,Triestina,30,5,14,11,32:40,-8,24:36
16 ,Liguria,30,7,7,16,36:66,-30,21:39
