Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Lazio,34,21,9,4,64:33,31,72
2 ,Juventus,34,21,8,5,46:20,26,71
3 ,Milan,34,16,13,5,65:40,25,61
4 ,Inter,34,17,7,10,58:36,22,58
5 ,AC Parma,34,16,10,8,52:37,15,58
6 ,AS Roma,34,14,12,8,57:34,23,54
7 ,Fiorentina,34,13,12,9,48:38,10,51
8 ,Udinese,34,13,11,10,55:45,10,50
9 ,Hellas Verona,34,10,13,11,40:45,-5,43
10 ,Perugia,34,12,6,16,36:52,-16,42
11 ,Reggina,34,9,13,12,31:42,-11,40
12 ,Bologna,34,9,13,12,32:39,-7,40
13 ,Lecce,34,10,10,14,33:49,-16,40
14 ,Bari,34,10,9,15,34:48,-14,39
15 ,Torino,34,8,12,14,35:47,-12,36
16 ,AC Venezia 1907,34,6,8,20,30:60,-30,26
17 ,Cagliari Calcio,34,3,13,18,29:54,-25,22
18 ,Piacenza,34,4,9,21,19:45,-26,21
