Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,18,7,5,49:19,30,43:17
2 ,SSC Napoli,30,14,13,3,50:22,28,41:19
3 ,AS Roma,30,15,9,6,27:15,12,39:21
4 ,Lazio,30,14,9,7,34:28,6,37:23
5 ,Milan,30,12,12,6,37:22,15,36:24
6 ,AC Torino,30,11,13,6,40:30,10,35:25
7 ,Bologna,30,10,12,8,36:33,3,32:28
8 ,Fiorentina,30,9,13,8,31:27,4,31:29
9 ,Inter,30,10,10,10,26:26,0,30:30
10 ,Cagliari Calcio,30,6,14,10,22:30,-8,26:34
11 ,Cesena,30,5,15,10,23:35,-12,25:35
12 ,Ascoli,30,6,12,12,14:27,-13,24:36
13 ,Sampdoria,30,4,16,10,21:35,-14,24:36
14 ,Vicenza,30,5,11,14,19:34,-15,21:39
15 ,Ternana,30,4,11,15,19:42,-23,19:41
16 ,Varese,30,3,11,16,19:42,-23,17:43
