Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Milan,34,22,12,0,74:21,53,56:12
2 ,Juventus,34,18,12,4,45:22,23,48:20
3 ,Torino,34,14,15,5,42:20,22,43:25
4 ,SSC Napoli,34,15,12,7,56:40,16,42:26
5 ,AS Roma,34,13,14,7,37:31,6,40:28
6 ,Sampdoria,34,11,16,7,38:31,7,38:30
7 ,AC Parma,34,11,16,7,32:28,4,38:30
8 ,Inter,34,10,17,7,28:28,0,37:31
9 ,Foggia,34,12,11,11,58:58,0,35:33
10 ,Atalanta,34,10,14,10,31:33,-2,34:34
11 ,Lazio,34,11,12,11,43:40,3,34:34
12 ,Fiorentina,34,10,12,12,44:41,3,32:36
13 ,Cagliari Calcio,34,7,15,12,30:34,-4,29:39
14 ,Genoa,34,9,11,14,35:47,-12,29:39
15 ,Bari,34,6,10,18,26:47,-21,22:46
16 ,Verona,34,7,7,20,24:57,-33,21:47
17 ,Cremonese,34,5,10,19,27:49,-22,20:48
18 ,Ascoli,34,4,6,24,25:68,-43,14:54
